Namespace(n_atom_feats=66, n_atom_hid=128, rel_total=86, lr=0.001, n_epochs=100, kge_dim=128, batch_size=1024, weight_decay=0.0005, neg_samples=1, data_size_ratio=1, use_cuda=True, device=0, fold=4, pkl_name='./pkl/db-0419_2218.pkl')
Training with 126502 samples, s1 with 6784, and s2 with 58510
Starting training at 2024-04-19 22:18:45.756485
Epoch: 1* (76.1302s), train_loss: 0.6243, s1_loss: 0.6773,s2_loss: 0.6423
		train_acc: 0.6349, train_roc: 0.6973,train_precision: 0.6284,train_recall:0.6603
		s1_acc: 0.6122, s1_roc: 0.7062, s1_aupr:0.7000, s1_f1:0.6928
		s2_acc: 0.6362, s2_roc: 0.7485, s2_aupr:0.7391, s2_f1:0.7133
Epoch: 2* (67.8497s), train_loss: 0.5299, s1_loss: 0.5798,s2_loss: 0.5209
		train_acc: 0.7312, train_roc: 0.8090,train_precision: 0.7232,train_recall:0.7489
		s1_acc: 0.7061, s1_roc: 0.7791, s1_aupr:0.7726, s1_f1:0.7195
		s2_acc: 0.7440, s2_roc: 0.8254, s2_aupr:0.8183, s2_f1:0.7606
Epoch: 3* (71.4358s), train_loss: 0.4243, s1_loss: 0.6539,s2_loss: 0.5618
		train_acc: 0.8055, train_roc: 0.8858,train_precision: 0.7947,train_recall:0.8238
		s1_acc: 0.6890, s1_roc: 0.7763, s1_aupr:0.7750, s1_f1:0.7289
		s2_acc: 0.7325, s2_roc: 0.8462, s2_aupr:0.8384, s2_f1:0.7725
Epoch: 4* (76.5280s), train_loss: 0.3640, s1_loss: 0.6004,s2_loss: 0.4673
		train_acc: 0.8415, train_roc: 0.9172,train_precision: 0.8262,train_recall:0.8648
		s1_acc: 0.7220, s1_roc: 0.7919, s1_aupr:0.7885, s1_f1:0.7268
		s2_acc: 0.7866, s2_roc: 0.8689, s2_aupr:0.8614, s2_f1:0.7979
Epoch: 5  (78.4333s), train_loss: 0.3144, s1_loss: 0.6930,s2_loss: 0.5739
		train_acc: 0.8677, train_roc: 0.9385,train_precision: 0.8534,train_recall:0.8881
		s1_acc: 0.6792, s1_roc: 0.7807, s1_aupr:0.7711, s1_f1:0.7310
		s2_acc: 0.7404, s2_roc: 0.8676, s2_aupr:0.8547, s2_f1:0.7844
Epoch: 6* (73.4838s), train_loss: 0.2931, s1_loss: 0.6227,s2_loss: 0.4291
		train_acc: 0.8791, train_roc: 0.9464,train_precision: 0.8639,train_recall:0.9000
		s1_acc: 0.7335, s1_roc: 0.8168, s1_aupr:0.8145, s1_f1:0.6992
		s2_acc: 0.8104, s2_roc: 0.8981, s2_aupr:0.8943, s2_f1:0.7993
Epoch: 7  (82.1277s), train_loss: 0.2724, s1_loss: 0.6504,s2_loss: 0.5276
