Namespace(n_atom_feats=66, n_atom_hid=128, rel_total=86, lr=0.001, n_epochs=100, kge_dim=128, batch_size=1024, weight_decay=0.0005, neg_samples=1, data_size_ratio=1, use_cuda=True, device=0, fold=4, pkl_name='./pkl/db-0417_2207.pkl')
Training with 126502 samples, s1 with 6784, and s2 with 58510
Starting training at 2024-04-17 22:07:50.338079
Epoch: 1* (42.9112s), train_loss: 0.6301, s1_loss: 0.6428,s2_loss: 0.6083
		train_acc: 0.6277, train_roc: 0.6874,train_precision: 0.6203,train_recall:0.6583
		s1_acc: 0.6384, s1_roc: 0.7094, s1_aupr:0.7037, s1_f1:0.5749
		s2_acc: 0.6641, s2_roc: 0.7384, s2_aupr:0.7307, s2_f1:0.6241
Epoch: 2* (41.3104s), train_loss: 0.5323, s1_loss: 0.6120,s2_loss: 0.5567
		train_acc: 0.7283, train_roc: 0.8064,train_precision: 0.7180,train_recall:0.7521
		s1_acc: 0.6806, s1_roc: 0.7467, s1_aupr:0.7462, s1_f1:0.6429
		s2_acc: 0.7133, s2_roc: 0.7916, s2_aupr:0.7849, s2_f1:0.6914
Epoch: 3* (41.9174s), train_loss: 0.4471, s1_loss: 0.6652,s2_loss: 0.5351
		train_acc: 0.7894, train_roc: 0.8714,train_precision: 0.7781,train_recall:0.8099
		s1_acc: 0.6773, s1_roc: 0.7577, s1_aupr:0.7657, s1_f1:0.7021
		s2_acc: 0.7515, s2_roc: 0.8412, s2_aupr:0.8349, s2_f1:0.7743
Epoch: 4  (42.6467s), train_loss: 0.3807, s1_loss: 0.6926,s2_loss: 0.5933
		train_acc: 0.8315, train_roc: 0.9092,train_precision: 0.8169,train_recall:0.8545
		s1_acc: 0.6628, s1_roc: 0.7496, s1_aupr:0.7394, s1_f1:0.7143
		s2_acc: 0.7179, s2_roc: 0.8288, s2_aupr:0.8184, s2_f1:0.7627
Epoch: 5* (44.3121s), train_loss: 0.3313, s1_loss: 0.6089,s2_loss: 0.4414
		train_acc: 0.8592, train_roc: 0.9318,train_precision: 0.8457,train_recall:0.8787
		s1_acc: 0.7247, s1_roc: 0.8043, s1_aupr:0.8042, s1_f1:0.7217
		s2_acc: 0.8059, s2_roc: 0.8870, s2_aupr:0.8813, s2_f1:0.8114
Epoch: 6* (43.3972s), train_loss: 0.2862, s1_loss: 0.5493,s2_loss: 0.4020
		train_acc: 0.8828, train_roc: 0.9490,train_precision: 0.8683,train_recall:0.9024
		s1_acc: 0.7586, s1_roc: 0.8393, s1_aupr:0.8371, s1_f1:0.7460
		s2_acc: 0.8260, s2_roc: 0.9041, s2_aupr:0.8981, s2_f1:0.8286
Epoch: 7  (42.6741s), train_loss: 0.2716, s1_loss: 0.6151,s2_loss: 0.4802
		train_acc: 0.8899, train_roc: 0.9538,train_precision: 0.8748,train_recall:0.9101
		s1_acc: 0.7120, s1_roc: 0.8069, s1_aupr:0.7970, s1_f1:0.7520
		s2_acc: 0.7803, s2_roc: 0.8875, s2_aupr:0.8749, s2_f1:0.8090
Epoch: 8  (43.0668s), train_loss: 0.2476, s1_loss: 0.6110,s2_loss: 0.3993
		train_acc: 0.9005, train_roc: 0.9615,train_precision: 0.8854,train_recall:0.9202
		s1_acc: 0.7428, s1_roc: 0.8501, s1_aupr:0.8413, s1_f1:0.7019
		s2_acc: 0.8310, s2_roc: 0.9193, s2_aupr:0.9154, s2_f1:0.8199
Epoch: 9* (43.4905s), train_loss: 0.2219, s1_loss: 0.5647,s2_loss: 0.4021
		train_acc: 0.9128, train_roc: 0.9688,train_precision: 0.8996,train_recall:0.9293
		s1_acc: 0.7602, s1_roc: 0.8433, s1_aupr:0.8324, s1_f1:0.7735
		s2_acc: 0.8334, s2_roc: 0.9199, s2_aupr:0.9120, s2_f1:0.8463
Epoch: 10* (44.0127s), train_loss: 0.2097, s1_loss: 0.5434,s2_loss: 0.3487
		train_acc: 0.9174, train_roc: 0.9722,train_precision: 0.9047,train_recall:0.9331
		s1_acc: 0.7732, s1_roc: 0.8585, s1_aupr:0.8564, s1_f1:0.7727
		s2_acc: 0.8593, s2_roc: 0.9348, s2_aupr:0.9303, s2_f1:0.8635
Epoch: 11  (43.2845s), train_loss: 0.1964, s1_loss: 0.5780,s2_loss: 0.3555
		train_acc: 0.9236, train_roc: 0.9753,train_precision: 0.9111,train_recall:0.9388
		s1_acc: 0.7738, s1_roc: 0.8694, s1_aupr:0.8658, s1_f1:0.7491
		s2_acc: 0.8574, s2_roc: 0.9346, s2_aupr:0.9306, s2_f1:0.8533
Epoch: 12  (45.9623s), train_loss: 0.1877, s1_loss: 0.5404,s2_loss: 0.3309
		train_acc: 0.9271, train_roc: 0.9775,train_precision: 0.9162,train_recall:0.9401
		s1_acc: 0.7723, s1_roc: 0.8633, s1_aupr:0.8603, s1_f1:0.7534
		s2_acc: 0.8639, s2_roc: 0.9378, s2_aupr:0.9339, s2_f1:0.8627
Epoch: 13  (43.8560s), train_loss: 0.1771, s1_loss: 0.5639,s2_loss: 0.3510
		train_acc: 0.9323, train_roc: 0.9797,train_precision: 0.9213,train_recall:0.9454
		s1_acc: 0.7664, s1_roc: 0.8480, s1_aupr:0.8403, s1_f1:0.7785
		s2_acc: 0.8559, s2_roc: 0.9367, s2_aupr:0.9313, s2_f1:0.8651
Epoch: 14* (44.3667s), train_loss: 0.1794, s1_loss: 0.5825,s2_loss: 0.3282
		train_acc: 0.9307, train_roc: 0.9792,train_precision: 0.9180,train_recall:0.9460
		s1_acc: 0.7740, s1_roc: 0.8551, s1_aupr:0.8539, s1_f1:0.7655
		s2_acc: 0.8695, s2_roc: 0.9419, s2_aupr:0.9392, s2_f1:0.8706
Epoch: 15  (45.7670s), train_loss: 0.1641, s1_loss: 0.6000,s2_loss: 0.3289
		train_acc: 0.9369, train_roc: 0.9825,train_precision: 0.9254,train_recall:0.9504
		s1_acc: 0.7672, s1_roc: 0.8611, s1_aupr:0.8602, s1_f1:0.7409
		s2_acc: 0.8708, s2_roc: 0.9471, s2_aupr:0.9455, s2_f1:0.8648
Epoch: 16  (46.9938s), train_loss: 0.1603, s1_loss: 0.6792,s2_loss: 0.3597
		train_acc: 0.9395, train_roc: 0.9830,train_precision: 0.9281,train_recall:0.9528
		s1_acc: 0.7482, s1_roc: 0.8467, s1_aupr:0.8431, s1_f1:0.7097
		s2_acc: 0.8572, s2_roc: 0.9365, s2_aupr:0.9350, s2_f1:0.8507
Epoch: 17* (43.8733s), train_loss: 0.1488, s1_loss: 0.5866,s2_loss: 0.3040
		train_acc: 0.9437, train_roc: 0.9854,train_precision: 0.9336,train_recall:0.9554
		s1_acc: 0.7737, s1_roc: 0.8557, s1_aupr:0.8500, s1_f1:0.7640
		s2_acc: 0.8798, s2_roc: 0.9492, s2_aupr:0.9473, s2_f1:0.8790
Epoch: 18* (44.6386s), train_loss: 0.1441, s1_loss: 0.5842,s2_loss: 0.3057
		train_acc: 0.9458, train_roc: 0.9863,train_precision: 0.9368,train_recall:0.9560
