Namespace(n_atom_feats=66, n_atom_hid=128, rel_total=86, lr=0.001, n_epochs=100, kge_dim=128, batch_size=1024, weight_decay=0.0005, neg_samples=1, data_size_ratio=1, use_cuda=True, device=0, fold=2, pkl_name='./pkl/db-0419_1237.pkl')
Training with 125311 samples, s1 with 6935, and s2 with 59562
Starting training at 2024-04-19 12:37:12.020714
Epoch: 1* (70.1619s), train_loss: 0.6258, s1_loss: 0.6332,s2_loss: 0.5869
		train_acc: 0.6318, train_roc: 0.6939,train_precision: 0.6246,train_recall:0.6609
		s1_acc: 0.6446, s1_roc: 0.7059, s1_aupr:0.6884, s1_f1:0.6805
		s2_acc: 0.6837, s2_roc: 0.7567, s2_aupr:0.7454, s2_f1:0.7098
Epoch: 2* (64.1658s), train_loss: 0.5313, s1_loss: 0.7126,s2_loss: 0.5738
		train_acc: 0.7280, train_roc: 0.8076,train_precision: 0.7194,train_recall:0.7474
		s1_acc: 0.6450, s1_roc: 0.7282, s1_aupr:0.6989, s1_f1:0.7118
		s2_acc: 0.7222, s2_roc: 0.8170, s2_aupr:0.7961, s2_f1:0.7630
Epoch: 3* (63.9720s), train_loss: 0.4235, s1_loss: 0.6634,s2_loss: 0.4948
		train_acc: 0.8082, train_roc: 0.8862,train_precision: 0.7948,train_recall:0.8310
		s1_acc: 0.6768, s1_roc: 0.7539, s1_aupr:0.7333, s1_f1:0.7197
		s2_acc: 0.7722, s2_roc: 0.8574, s2_aupr:0.8390, s2_f1:0.7944
Epoch: 4* (68.4998s), train_loss: 0.3602, s1_loss: 0.6870,s2_loss: 0.4901
		train_acc: 0.8456, train_roc: 0.9189,train_precision: 0.8301,train_recall:0.8690
		s1_acc: 0.6727, s1_roc: 0.7643, s1_aupr:0.7543, s1_f1:0.7253
		s2_acc: 0.7739, s2_roc: 0.8748, s2_aupr:0.8611, s2_f1:0.8024
Epoch: 5* (62.8801s), train_loss: 0.3211, s1_loss: 0.7515,s2_loss: 0.5352
		train_acc: 0.8658, train_roc: 0.9350,train_precision: 0.8473,train_recall:0.8923
		s1_acc: 0.6756, s1_roc: 0.7787, s1_aupr:0.7623, s1_f1:0.7344
		s2_acc: 0.7661, s2_roc: 0.8799, s2_aupr:0.8664, s2_f1:0.8001
Epoch: 6* (65.1159s), train_loss: 0.3055, s1_loss: 0.5970,s2_loss: 0.4298
		train_acc: 0.8731, train_roc: 0.9410,train_precision: 0.8541,train_recall:0.9000
		s1_acc: 0.7138, s1_roc: 0.7940, s1_aupr:0.7821, s1_f1:0.7429
		s2_acc: 0.8053, s2_roc: 0.8913, s2_aupr:0.8815, s2_f1:0.8203
Epoch: 7* (65.5319s), train_loss: 0.2772, s1_loss: 0.6106,s2_loss: 0.4202
		train_acc: 0.8866, train_roc: 0.9512,train_precision: 0.8678,train_recall:0.9122
		s1_acc: 0.7279, s1_roc: 0.8023, s1_aupr:0.7924, s1_f1:0.7188
		s2_acc: 0.8214, s2_roc: 0.9022, s2_aupr:0.8970, s2_f1:0.8144
Epoch: 8* (66.6520s), train_loss: 0.2684, s1_loss: 0.6362,s2_loss: 0.4717
		train_acc: 0.8912, train_roc: 0.9540,train_precision: 0.8725,train_recall:0.9162
		s1_acc: 0.7133, s1_roc: 0.8094, s1_aupr:0.7939, s1_f1:0.7568
		s2_acc: 0.7930, s2_roc: 0.8979, s2_aupr:0.8847, s2_f1:0.8196
Epoch: 9* (66.3481s), train_loss: 0.2461, s1_loss: 0.5738,s2_loss: 0.3764
		train_acc: 0.9023, train_roc: 0.9610,train_precision: 0.8839,train_recall:0.9262
		s1_acc: 0.7596, s1_roc: 0.8388, s1_aupr:0.8287, s1_f1:0.7754
		s2_acc: 0.8496, s2_roc: 0.9226, s2_aupr:0.9167, s2_f1:0.8543
Epoch: 10  (64.1467s), train_loss: 0.2409, s1_loss: 0.5881,s2_loss: 0.4010
		train_acc: 0.9042, train_roc: 0.9626,train_precision: 0.8850,train_recall:0.9292
		s1_acc: 0.7490, s1_roc: 0.8384, s1_aupr:0.8299, s1_f1:0.7273
		s2_acc: 0.8309, s2_roc: 0.9135, s2_aupr:0.9082, s2_f1:0.8237
Epoch: 11  (64.1930s), train_loss: 0.2332, s1_loss: 0.5676,s2_loss: 0.3787
		train_acc: 0.9081, train_roc: 0.9649,train_precision: 0.8906,train_recall:0.9305
		s1_acc: 0.7495, s1_roc: 0.8299, s1_aupr:0.8223, s1_f1:0.7481
		s2_acc: 0.8402, s2_roc: 0.9166, s2_aupr:0.9095, s2_f1:0.8413
Epoch: 12  (63.2051s), train_loss: 0.2216, s1_loss: 0.6181,s2_loss: 0.4000
		train_acc: 0.9136, train_roc: 0.9678,train_precision: 0.8954,train_recall:0.9367
