Namespace(n_atom_feats=66, n_atom_hid=128, rel_total=86, lr=0.001, n_epochs=100, kge_dim=128, batch_size=1024, weight_decay=0.0005, neg_samples=1, data_size_ratio=1, use_cuda=True, device=0, fold=1, pkl_name='./pkl/db-0420_0115.pkl')
Training with 126350 samples, s1 with 6719, and s2 with 58739
Starting training at 2024-04-20 01:15:46.825620
Epoch: 1* (80.8816s), train_loss: 0.6334, s1_loss: 0.6359,s2_loss: 0.6060
		train_acc: 0.6239, train_roc: 0.6825,train_precision: 0.6168,train_recall:0.6544
		s1_acc: 0.6523, s1_roc: 0.7150, s1_aupr:0.7123, s1_f1:0.6572
		s2_acc: 0.6756, s2_roc: 0.7430, s2_aupr:0.7336, s2_f1:0.6989
Epoch: 2* (73.3010s), train_loss: 0.5409, s1_loss: 0.6238,s2_loss: 0.5803
		train_acc: 0.7215, train_roc: 0.7984,train_precision: 0.7120,train_recall:0.7438
		s1_acc: 0.6864, s1_roc: 0.7520, s1_aupr:0.7503, s1_f1:0.6997
		s2_acc: 0.7077, s2_roc: 0.7908, s2_aupr:0.7827, s2_f1:0.7396
Epoch: 3* (69.8200s), train_loss: 0.4780, s1_loss: 0.5884,s2_loss: 0.4975
		train_acc: 0.7685, train_roc: 0.8506,train_precision: 0.7593,train_recall:0.7863
		s1_acc: 0.7205, s1_roc: 0.7901, s1_aupr:0.7948, s1_f1:0.7055
		s2_acc: 0.7719, s2_roc: 0.8459, s2_aupr:0.8422, s2_f1:0.7750
Epoch: 4* (77.6567s), train_loss: 0.4201, s1_loss: 0.5671,s2_loss: 0.4584
		train_acc: 0.8072, train_roc: 0.8879,train_precision: 0.7963,train_recall:0.8255
		s1_acc: 0.7300, s1_roc: 0.8057, s1_aupr:0.8038, s1_f1:0.7401
		s2_acc: 0.7920, s2_roc: 0.8735, s2_aupr:0.8686, s2_f1:0.8034
Epoch: 5* (69.1835s), train_loss: 0.3598, s1_loss: 0.5233,s2_loss: 0.4144
		train_acc: 0.8435, train_roc: 0.9195,train_precision: 0.8309,train_recall:0.8625
		s1_acc: 0.7726, s1_roc: 0.8573, s1_aupr:0.8577, s1_f1:0.7502
		s2_acc: 0.8217, s2_roc: 0.8987, s2_aupr:0.8973, s2_f1:0.8170
Epoch: 6* (73.1087s), train_loss: 0.3086, s1_loss: 0.5408,s2_loss: 0.4088
		train_acc: 0.8697, train_roc: 0.9409,train_precision: 0.8570,train_recall:0.8873
		s1_acc: 0.7614, s1_roc: 0.8389, s1_aupr:0.8361, s1_f1:0.7701
		s2_acc: 0.8245, s2_roc: 0.9066, s2_aupr:0.9029, s2_f1:0.8346
Epoch: 7* (76.8881s), train_loss: 0.2909, s1_loss: 0.4977,s2_loss: 0.3969
		train_acc: 0.8787, train_roc: 0.9474,train_precision: 0.8655,train_recall:0.8968
		s1_acc: 0.7815, s1_roc: 0.8668, s1_aupr:0.8600, s1_f1:0.7951
		s2_acc: 0.8315, s2_roc: 0.9187, s2_aupr:0.9125, s2_f1:0.8449
Epoch: 8* (74.6549s), train_loss: 0.2707, s1_loss: 0.4784,s2_loss: 0.3666
		train_acc: 0.8892, train_roc: 0.9543,train_precision: 0.8761,train_recall:0.9066
		s1_acc: 0.7971, s1_roc: 0.8735, s1_aupr:0.8706, s1_f1:0.8020
		s2_acc: 0.8454, s2_roc: 0.9263, s2_aupr:0.9230, s2_f1:0.8543
Epoch: 9  (65.8846s), train_loss: 0.2439, s1_loss: 0.5602,s2_loss: 0.3924
		train_acc: 0.9009, train_roc: 0.9629,train_precision: 0.8886,train_recall:0.9166
		s1_acc: 0.7570, s1_roc: 0.8719, s1_aupr:0.8719, s1_f1:0.7100
		s2_acc: 0.8344, s2_roc: 0.9297, s2_aupr:0.9282, s2_f1:0.8172
Epoch: 10* (66.9933s), train_loss: 0.2348, s1_loss: 0.4383,s2_loss: 0.3191
		train_acc: 0.9059, train_roc: 0.9654,train_precision: 0.8945,train_recall:0.9204
		s1_acc: 0.8166, s1_roc: 0.8967, s1_aupr:0.8975, s1_f1:0.8135
		s2_acc: 0.8702, s2_roc: 0.9410, s2_aupr:0.9384, s2_f1:0.8734
Epoch: 11  (66.0531s), train_loss: 0.2162, s1_loss: 0.4499,s2_loss: 0.3658
		train_acc: 0.9139, train_roc: 0.9704,train_precision: 0.9023,train_recall:0.9284
		s1_acc: 0.8047, s1_roc: 0.8901, s1_aupr:0.8912, s1_f1:0.8149
		s2_acc: 0.8468, s2_roc: 0.9361, s2_aupr:0.9326, s2_f1:0.8593
Epoch: 12* (68.3519s), train_loss: 0.2018, s1_loss: 0.4325,s2_loss: 0.3121
		train_acc: 0.9210, train_roc: 0.9739,train_precision: 0.9083,train_recall:0.9365
		s1_acc: 0.8219, s1_roc: 0.8976, s1_aupr:0.8941, s1_f1:0.8258
		s2_acc: 0.8711, s2_roc: 0.9472, s2_aupr:0.9456, s2_f1:0.8776
Epoch: 13  (67.9068s), train_loss: 0.1993, s1_loss: 0.4569,s2_loss: 0.2909
		train_acc: 0.9216, train_roc: 0.9748,train_precision: 0.9103,train_recall:0.9354
		s1_acc: 0.8093, s1_roc: 0.8935, s1_aupr:0.8933, s1_f1:0.7983
		s2_acc: 0.8810, s2_roc: 0.9499, s2_aupr:0.9488, s2_f1:0.8805
Epoch: 14  (68.4070s), train_loss: 0.1858, s1_loss: 0.4556,s2_loss: 0.3429
		train_acc: 0.9283, train_roc: 0.9779,train_precision: 0.9182,train_recall:0.9403
		s1_acc: 0.8125, s1_roc: 0.8930, s1_aupr:0.8898, s1_f1:0.8213
		s2_acc: 0.8600, s2_roc: 0.9465, s2_aupr:0.9464, s2_f1:0.8706
Epoch: 15  (73.7009s), train_loss: 0.1683, s1_loss: 0.4968,s2_loss: 0.2883
		train_acc: 0.9353, train_roc: 0.9818,train_precision: 0.9259,train_recall:0.9464
		s1_acc: 0.7971, s1_roc: 0.9074, s1_aupr:0.9102, s1_f1:0.7651
		s2_acc: 0.8836, s2_roc: 0.9598, s2_aupr:0.9602, s2_f1:0.8761
Epoch: 16* (69.1684s), train_loss: 0.1768, s1_loss: 0.4253,s2_loss: 0.2803
		train_acc: 0.9320, train_roc: 0.9799,train_precision: 0.9214,train_recall:0.9446
		s1_acc: 0.8346, s1_roc: 0.9195, s1_aupr:0.9213, s1_f1:0.8230
		s2_acc: 0.8897, s2_roc: 0.9554, s2_aupr:0.9547, s2_f1:0.8893
Epoch: 17  (77.7437s), train_loss: 0.1625, s1_loss: 0.5537,s2_loss: 0.3292
		train_acc: 0.9383, train_roc: 0.9827,train_precision: 0.9276,train_recall:0.9507
		s1_acc: 0.7789, s1_roc: 0.8872, s1_aupr:0.8901, s1_f1:0.7388
		s2_acc: 0.8675, s2_roc: 0.9532, s2_aupr:0.9531, s2_f1:0.8562
Epoch: 18* (73.1141s), train_loss: 0.1588, s1_loss: 0.4280,s2_loss: 0.2705
		train_acc: 0.9404, train_roc: 0.9836,train_precision: 0.9311,train_recall:0.9511
		s1_acc: 0.8345, s1_roc: 0.9151, s1_aupr:0.9185, s1_f1:0.8279
		s2_acc: 0.8958, s2_roc: 0.9598, s2_aupr:0.9588, s2_f1:0.8978
Epoch: 19  (77.2705s), train_loss: 0.1507, s1_loss: 0.5674,s2_loss: 0.3110
		train_acc: 0.9426, train_roc: 0.9851,train_precision: 0.9326,train_recall:0.9540
		s1_acc: 0.7864, s1_roc: 0.9067, s1_aupr:0.9091, s1_f1:0.7450
		s2_acc: 0.8778, s2_roc: 0.9607, s2_aupr:0.9614, s2_f1:0.8676
Epoch: 20  (77.8741s), train_loss: 0.1382, s1_loss: 0.4226,s2_loss: 0.2717
		train_acc: 0.9474, train_roc: 0.9874,train_precision: 0.9389,train_recall:0.9572
		s1_acc: 0.8328, s1_roc: 0.9102, s1_aupr:0.9095, s1_f1:0.8310
		s2_acc: 0.8933, s2_roc: 0.9598, s2_aupr:0.9586, s2_f1:0.8967
Epoch: 21  (72.1275s), train_loss: 0.1317, s1_loss: 0.6067,s2_loss: 0.2810
		train_acc: 0.9505, train_roc: 0.9886,train_precision: 0.9426,train_recall:0.9595
		s1_acc: 0.7884, s1_roc: 0.8950, s1_aupr:0.8931, s1_f1:0.7566
		s2_acc: 0.8939, s2_roc: 0.9629, s2_aupr:0.9623, s2_f1:0.8895
Epoch: 22* (74.1835s), train_loss: 0.1286, s1_loss: 0.4453,s2_loss: 0.2348
		train_acc: 0.9519, train_roc: 0.9889,train_precision: 0.9433,train_recall:0.9616
		s1_acc: 0.8303, s1_roc: 0.9212, s1_aupr:0.9257, s1_f1:0.8130
		s2_acc: 0.9096, s2_roc: 0.9697, s2_aupr:0.9697, s2_f1:0.9075
Epoch: 23  (74.0265s), train_loss: 0.1256, s1_loss: 0.4168,s2_loss: 0.2562
		train_acc: 0.9530, train_roc: 0.9895,train_precision: 0.9454,train_recall:0.9616
		s1_acc: 0.8354, s1_roc: 0.9148, s1_aupr:0.9170, s1_f1:0.8317
		s2_acc: 0.9003, s2_roc: 0.9643, s2_aupr:0.9635, s2_f1:0.9035
Epoch: 24* (76.2456s), train_loss: 0.1191, s1_loss: 0.4145,s2_loss: 0.2302
