Namespace(n_atom_feats=66, n_atom_hid=128, rel_total=86, lr=0.001, n_epochs=100, kge_dim=128, batch_size=1024, weight_decay=0.0005, neg_samples=1, data_size_ratio=1, use_cuda=True, device=0, fold=2, pkl_name='./pkl/db-0419_1903.pkl')
Training with 125311 samples, s1 with 6935, and s2 with 59562
Starting training at 2024-04-19 19:03:43.623334
Epoch: 1* (75.4285s), train_loss: 0.6300, s1_loss: 0.6529,s2_loss: 0.6104
		train_acc: 0.6299, train_roc: 0.6886,train_precision: 0.6227,train_recall:0.6595
		s1_acc: 0.6288, s1_roc: 0.6847, s1_aupr:0.6691, s1_f1:0.5936
		s2_acc: 0.6635, s2_roc: 0.7361, s2_aupr:0.7250, s2_f1:0.6274
Epoch: 2* (68.0526s), train_loss: 0.5268, s1_loss: 0.6433,s2_loss: 0.5166
		train_acc: 0.7329, train_roc: 0.8111,train_precision: 0.7204,train_recall:0.7612
		s1_acc: 0.6565, s1_roc: 0.7191, s1_aupr:0.7102, s1_f1:0.6894
		s2_acc: 0.7454, s2_roc: 0.8264, s2_aupr:0.8120, s2_f1:0.7663
Epoch: 3* (67.9959s), train_loss: 0.4054, s1_loss: 0.7373,s2_loss: 0.5221
		train_acc: 0.8184, train_roc: 0.8952,train_precision: 0.7973,train_recall:0.8541
		s1_acc: 0.6676, s1_roc: 0.7300, s1_aupr:0.7239, s1_f1:0.6915
		s2_acc: 0.7651, s2_roc: 0.8462, s2_aupr:0.8368, s2_f1:0.7794
Epoch: 4* (66.2919s), train_loss: 0.3604, s1_loss: 0.6928,s2_loss: 0.5243
		train_acc: 0.8453, train_roc: 0.9180,train_precision: 0.8256,train_recall:0.8755
		s1_acc: 0.6858, s1_roc: 0.7632, s1_aupr:0.7514, s1_f1:0.7201
		s2_acc: 0.7641, s2_roc: 0.8586, s2_aupr:0.8479, s2_f1:0.7891
Epoch: 5* (69.1319s), train_loss: 0.3253, s1_loss: 0.6848,s2_loss: 0.5059
		train_acc: 0.8636, train_roc: 0.9330,train_precision: 0.8442,train_recall:0.8916
		s1_acc: 0.7010, s1_roc: 0.7765, s1_aupr:0.7678, s1_f1:0.7244
		s2_acc: 0.7780, s2_roc: 0.8691, s2_aupr:0.8603, s2_f1:0.7974
Epoch: 6* (65.3159s), train_loss: 0.3006, s1_loss: 0.6429,s2_loss: 0.4580
		train_acc: 0.8758, train_roc: 0.9425,train_precision: 0.8549,train_recall:0.9054
		s1_acc: 0.7317, s1_roc: 0.8047, s1_aupr:0.7910, s1_f1:0.7271
		s2_acc: 0.8037, s2_roc: 0.8845, s2_aupr:0.8772, s2_f1:0.8077
Epoch: 7  (65.8744s), train_loss: 0.2917, s1_loss: 0.6200,s2_loss: 0.4391
		train_acc: 0.8805, train_roc: 0.9459,train_precision: 0.8607,train_recall:0.9080
		s1_acc: 0.7216, s1_roc: 0.7908, s1_aupr:0.7749, s1_f1:0.7249
		s2_acc: 0.8052, s2_roc: 0.8845, s2_aupr:0.8770, s2_f1:0.8119
Epoch: 8* (68.2176s), train_loss: 0.2736, s1_loss: 0.5912,s2_loss: 0.4596
		train_acc: 0.8886, train_roc: 0.9519,train_precision: 0.8680,train_recall:0.9165
		s1_acc: 0.7294, s1_roc: 0.8224, s1_aupr:0.7984, s1_f1:0.7681
		s2_acc: 0.7932, s2_roc: 0.8980, s2_aupr:0.8860, s2_f1:0.8193
Epoch: 9* (64.3680s), train_loss: 0.2577, s1_loss: 0.5836,s2_loss: 0.4229
		train_acc: 0.8970, train_roc: 0.9573,train_precision: 0.8755,train_recall:0.9256
		s1_acc: 0.7521, s1_roc: 0.8284, s1_aupr:0.8120, s1_f1:0.7585
		s2_acc: 0.8252, s2_roc: 0.9020, s2_aupr:0.8929, s2_f1:0.8301
