Namespace(n_atom_feats=66, n_atom_hid=128, rel_total=86, lr=0.001, n_epochs=100, kge_dim=128, batch_size=1024, weight_decay=0.0005, neg_samples=1, data_size_ratio=1, use_cuda=True, device=0, fold=4, pkl_name='./pkl/db-0419_1513.pkl')
Training with 126502 samples, s1 with 6784, and s2 with 58510
Starting training at 2024-04-19 15:13:13.314526
Epoch: 1* (65.3849s), train_loss: 0.6335, s1_loss: 0.6384,s2_loss: 0.6033
		train_acc: 0.6245, train_roc: 0.6828,train_precision: 0.6168,train_recall:0.6575
		s1_acc: 0.6435, s1_roc: 0.7009, s1_aupr:0.6885, s1_f1:0.6343
		s2_acc: 0.6698, s2_roc: 0.7350, s2_aupr:0.7216, s2_f1:0.6699
Epoch: 2* (67.2049s), train_loss: 0.5388, s1_loss: 0.5974,s2_loss: 0.5423
		train_acc: 0.7225, train_roc: 0.8008,train_precision: 0.7145,train_recall:0.7412
		s1_acc: 0.6880, s1_roc: 0.7577, s1_aupr:0.7525, s1_f1:0.6710
		s2_acc: 0.7265, s2_roc: 0.8024, s2_aupr:0.7943, s2_f1:0.7204
Epoch: 3* (63.5119s), train_loss: 0.4847, s1_loss: 0.5931,s2_loss: 0.5079
		train_acc: 0.7634, train_roc: 0.8453,train_precision: 0.7533,train_recall:0.7834
		s1_acc: 0.7075, s1_roc: 0.7764, s1_aupr:0.7717, s1_f1:0.7065
		s2_acc: 0.7556, s2_roc: 0.8338, s2_aupr:0.8264, s2_f1:0.7600
Epoch: 4* (63.0121s), train_loss: 0.4007, s1_loss: 0.6338,s2_loss: 0.5191
		train_acc: 0.8196, train_roc: 0.8990,train_precision: 0.8088,train_recall:0.8371
		s1_acc: 0.6991, s1_roc: 0.7813, s1_aupr:0.7776, s1_f1:0.7273
		s2_acc: 0.7598, s2_roc: 0.8518, s2_aupr:0.8428, s2_f1:0.7839
Epoch: 5* (63.5240s), train_loss: 0.3374, s1_loss: 0.6244,s2_loss: 0.4943
		train_acc: 0.8558, train_roc: 0.9295,train_precision: 0.8430,train_recall:0.8745
		s1_acc: 0.7177, s1_roc: 0.7912, s1_aupr:0.7901, s1_f1:0.7210
		s2_acc: 0.7776, s2_roc: 0.8635, s2_aupr:0.8568, s2_f1:0.7925
Epoch: 6* (65.7037s), train_loss: 0.3006, s1_loss: 0.5771,s2_loss: 0.4412
		train_acc: 0.8748, train_roc: 0.9438,train_precision: 0.8615,train_recall:0.8931
		s1_acc: 0.7274, s1_roc: 0.8154, s1_aupr:0.8111, s1_f1:0.7530
		s2_acc: 0.7973, s2_roc: 0.8969, s2_aupr:0.8904, s2_f1:0.8188
Epoch: 7* (64.4521s), train_loss: 0.2807, s1_loss: 0.5965,s2_loss: 0.4241
		train_acc: 0.8837, train_roc: 0.9510,train_precision: 0.8708,train_recall:0.9010
		s1_acc: 0.7339, s1_roc: 0.8222, s1_aupr:0.8183, s1_f1:0.7586
		s2_acc: 0.8151, s2_roc: 0.9103, s2_aupr:0.9049, s2_f1:0.8325
