Namespace(n_atom_feats=66, n_atom_hid=128, rel_total=86, lr=0.001, n_epochs=100, kge_dim=128, batch_size=1024, weight_decay=0.0005, neg_samples=1, data_size_ratio=1, use_cuda=True, device=0, fold=1, pkl_name='./pkl/db-0419_1142.pkl')
Training with 126350 samples, s1 with 6719, and s2 with 58739
Starting training at 2024-04-19 11:42:41.727516
Epoch: 1* (64.3943s), train_loss: 0.6325, s1_loss: 0.6434,s2_loss: 0.6040
		train_acc: 0.6232, train_roc: 0.6825,train_precision: 0.6169,train_recall:0.6501
		s1_acc: 0.6638, s1_roc: 0.7239, s1_aupr:0.7145, s1_f1:0.6473
		s2_acc: 0.6829, s2_roc: 0.7486, s2_aupr:0.7400, s2_f1:0.6873
Epoch: 2* (64.2624s), train_loss: 0.5371, s1_loss: 0.6525,s2_loss: 0.5678
		train_acc: 0.7244, train_roc: 0.8019,train_precision: 0.7151,train_recall:0.7461
		s1_acc: 0.7005, s1_roc: 0.7661, s1_aupr:0.7676, s1_f1:0.6761
		s2_acc: 0.7325, s2_roc: 0.8053, s2_aupr:0.8019, s2_f1:0.7318
Epoch: 3* (63.4124s), train_loss: 0.4627, s1_loss: 0.5916,s2_loss: 0.4925
		train_acc: 0.7797, train_roc: 0.8614,train_precision: 0.7690,train_recall:0.7995
		s1_acc: 0.7236, s1_roc: 0.8107, s1_aupr:0.8084, s1_f1:0.7516
		s2_acc: 0.7765, s2_roc: 0.8743, s2_aupr:0.8657, s2_f1:0.8023
Epoch: 4* (64.1195s), train_loss: 0.3755, s1_loss: 0.5567,s2_loss: 0.4445
		train_acc: 0.8343, train_roc: 0.9115,train_precision: 0.8187,train_recall:0.8589
		s1_acc: 0.7450, s1_roc: 0.8271, s1_aupr:0.8193, s1_f1:0.7681
		s2_acc: 0.8016, s2_roc: 0.8934, s2_aupr:0.8853, s2_f1:0.8207
Epoch: 5* (69.6043s), train_loss: 0.3142, s1_loss: 0.5355,s2_loss: 0.3819
		train_acc: 0.8681, train_roc: 0.9383,train_precision: 0.8520,train_recall:0.8910
		s1_acc: 0.7732, s1_roc: 0.8486, s1_aupr:0.8455, s1_f1:0.7689
		s2_acc: 0.8399, s2_roc: 0.9161, s2_aupr:0.9124, s2_f1:0.8450
Epoch: 6  (65.8482s), train_loss: 0.3038, s1_loss: 0.6119,s2_loss: 0.4211
		train_acc: 0.8736, train_roc: 0.9423,train_precision: 0.8565,train_recall:0.8977
		s1_acc: 0.7348, s1_roc: 0.8308, s1_aupr:0.8318, s1_f1:0.6881
		s2_acc: 0.8210, s2_roc: 0.9119, s2_aupr:0.9086, s2_f1:0.8048
Epoch: 7* (64.6315s), train_loss: 0.2606, s1_loss: 0.4837,s2_loss: 0.3522
		train_acc: 0.8936, train_roc: 0.9571,train_precision: 0.8775,train_recall:0.9149
		s1_acc: 0.7924, s1_roc: 0.8750, s1_aupr:0.8752, s1_f1:0.7849
		s2_acc: 0.8542, s2_roc: 0.9278, s2_aupr:0.9243, s2_f1:0.8585
Epoch: 8  (65.2791s), train_loss: 0.2468, s1_loss: 0.7275,s2_loss: 0.4612
		train_acc: 0.9006, train_roc: 0.9615,train_precision: 0.8844,train_recall:0.9216
		s1_acc: 0.7107, s1_roc: 0.8688, s1_aupr:0.8704, s1_f1:0.6161
		s2_acc: 0.8051, s2_roc: 0.9262, s2_aupr:0.9237, s2_f1:0.7729
Epoch: 9  (64.2127s), train_loss: 0.2324, s1_loss: 0.5555,s2_loss: 0.3739
		train_acc: 0.9075, train_roc: 0.9658,train_precision: 0.8920,train_recall:0.9273
		s1_acc: 0.7633, s1_roc: 0.8613, s1_aupr:0.8644, s1_f1:0.7308
		s2_acc: 0.8447, s2_roc: 0.9208, s2_aupr:0.9189, s2_f1:0.8413
Epoch: 10  (62.7194s), train_loss: 0.2200, s1_loss: 0.7098,s2_loss: 0.4201
		train_acc: 0.9130, train_roc: 0.9693,train_precision: 0.8983,train_recall:0.9315
		s1_acc: 0.7446, s1_roc: 0.8798, s1_aupr:0.8785, s1_f1:0.6815
		s2_acc: 0.8387, s2_roc: 0.9400, s2_aupr:0.9383, s2_f1:0.8202
Epoch: 11* (65.1816s), train_loss: 0.2164, s1_loss: 0.5013,s2_loss: 0.3345
		train_acc: 0.9143, train_roc: 0.9703,train_precision: 0.9005,train_recall:0.9316
		s1_acc: 0.7939, s1_roc: 0.8748, s1_aupr:0.8752, s1_f1:0.7940
		s2_acc: 0.8639, s2_roc: 0.9399, s2_aupr:0.9389, s2_f1:0.8696
Epoch: 12  (67.5752s), train_loss: 0.2007, s1_loss: 0.6616,s2_loss: 0.3794
		train_acc: 0.9215, train_roc: 0.9741,train_precision: 0.9081,train_recall:0.9380
		s1_acc: 0.7465, s1_roc: 0.8722, s1_aupr:0.8774, s1_f1:0.6866
		s2_acc: 0.8494, s2_roc: 0.9386, s2_aupr:0.9379, s2_f1:0.8356
Epoch: 13* (63.4756s), train_loss: 0.1955, s1_loss: 0.5467,s2_loss: 0.3089
		train_acc: 0.9245, train_roc: 0.9754,train_precision: 0.9116,train_recall:0.9401
		s1_acc: 0.7903, s1_roc: 0.8914, s1_aupr:0.8930, s1_f1:0.7628
		s2_acc: 0.8806, s2_roc: 0.9517, s2_aupr:0.9506, s2_f1:0.8763
Epoch: 14  (64.5582s), train_loss: 0.1840, s1_loss: 0.7357,s2_loss: 0.4299
		train_acc: 0.9297, train_roc: 0.9781,train_precision: 0.9164,train_recall:0.9457
		s1_acc: 0.7040, s1_roc: 0.8764, s1_aupr:0.8804, s1_f1:0.5970
		s2_acc: 0.8178, s2_roc: 0.9414, s2_aupr:0.9419, s2_f1:0.7868
Epoch: 15  (63.9953s), train_loss: 0.1707, s1_loss: 0.6573,s2_loss: 0.3498
		train_acc: 0.9346, train_roc: 0.9810,train_precision: 0.9238,train_recall:0.9474
		s1_acc: 0.7596, s1_roc: 0.8892, s1_aupr:0.8919, s1_f1:0.7058
		s2_acc: 0.8660, s2_roc: 0.9484, s2_aupr:0.9492, s2_f1:0.8554
Epoch: 16* (67.6945s), train_loss: 0.1689, s1_loss: 0.5213,s2_loss: 0.3001
		train_acc: 0.9356, train_roc: 0.9815,train_precision: 0.9239,train_recall:0.9494
		s1_acc: 0.8070, s1_roc: 0.8946, s1_aupr:0.8948, s1_f1:0.7883
		s2_acc: 0.8841, s2_roc: 0.9504, s2_aupr:0.9502, s2_f1:0.8840
Epoch: 17  (65.6311s), train_loss: 0.1556, s1_loss: 0.7403,s2_loss: 0.3586
		train_acc: 0.9412, train_roc: 0.9842,train_precision: 0.9301,train_recall:0.9540
		s1_acc: 0.7590, s1_roc: 0.9051, s1_aupr:0.9073, s1_f1:0.6988
		s2_acc: 0.8712, s2_roc: 0.9556, s2_aupr:0.9554, s2_f1:0.8608
Epoch: 18* (65.8012s), train_loss: 0.1466, s1_loss: 0.5311,s2_loss: 0.2786
		train_acc: 0.9444, train_roc: 0.9859,train_precision: 0.9355,train_recall:0.9547
		s1_acc: 0.8096, s1_roc: 0.9034, s1_aupr:0.9074, s1_f1:0.7891
		s2_acc: 0.8980, s2_roc: 0.9605, s2_aupr:0.9605, s2_f1:0.8961
Epoch: 19* (69.9677s), train_loss: 0.1406, s1_loss: 0.5006,s2_loss: 0.2819
		train_acc: 0.9470, train_roc: 0.9869,train_precision: 0.9384,train_recall:0.9569
		s1_acc: 0.8229, s1_roc: 0.9081, s1_aupr:0.9092, s1_f1:0.8080
		s2_acc: 0.8947, s2_roc: 0.9579, s2_aupr:0.9575, s2_f1:0.8951
Epoch: 20  (64.9357s), train_loss: 0.1405, s1_loss: 0.5286,s2_loss: 0.2740
		train_acc: 0.9474, train_roc: 0.9869,train_precision: 0.9377,train_recall:0.9584
		s1_acc: 0.8029, s1_roc: 0.8944, s1_aupr:0.8939, s1_f1:0.7844
		s2_acc: 0.8962, s2_roc: 0.9594, s2_aupr:0.9602, s2_f1:0.8953
Epoch: 21  (65.5301s), train_loss: 0.1336, s1_loss: 0.5444,s2_loss: 0.2905
		train_acc: 0.9503, train_roc: 0.9881,train_precision: 0.9420,train_recall:0.9596
		s1_acc: 0.8143, s1_roc: 0.9078, s1_aupr:0.9111, s1_f1:0.7939
		s2_acc: 0.8951, s2_roc: 0.9585, s2_aupr:0.9585, s2_f1:0.8943
Epoch: 22  (66.3742s), train_loss: 0.1263, s1_loss: 0.5892,s2_loss: 0.2907
		train_acc: 0.9528, train_roc: 0.9892,train_precision: 0.9442,train_recall:0.9624
		s1_acc: 0.7948, s1_roc: 0.9028, s1_aupr:0.9051, s1_f1:0.7644
		s2_acc: 0.8955, s2_roc: 0.9622, s2_aupr:0.9623, s2_f1:0.8913
Epoch: 23  (63.9613s), train_loss: 0.1248, s1_loss: 0.7793,s2_loss: 0.3674
