Namespace(n_atom_feats=66, n_atom_hid=128, rel_total=86, lr=0.001, n_epochs=100, kge_dim=128, batch_size=1024, weight_decay=0.0005, neg_samples=1, data_size_ratio=1, use_cuda=True, device=0, fold=2, pkl_name='./pkl/db-0420_0225.pkl')
Training with 125311 samples, s1 with 6935, and s2 with 59562
Starting training at 2024-04-20 02:25:16.767386
Epoch: 1* (75.3275s), train_loss: 0.6284, s1_loss: 0.6381,s2_loss: 0.6050
		train_acc: 0.6281, train_roc: 0.6894,train_precision: 0.6207,train_recall:0.6588
		s1_acc: 0.6296, s1_roc: 0.6851, s1_aupr:0.6786, s1_f1:0.6504
		s2_acc: 0.6629, s2_roc: 0.7306, s2_aupr:0.7215, s2_f1:0.6847
Epoch: 2* (68.6214s), train_loss: 0.5589, s1_loss: 0.6528,s2_loss: 0.5755
		train_acc: 0.7048, train_roc: 0.7802,train_precision: 0.6947,train_recall:0.7308
		s1_acc: 0.6477, s1_roc: 0.7056, s1_aupr:0.6897, s1_f1:0.6828
		s2_acc: 0.7010, s2_roc: 0.7765, s2_aupr:0.7648, s2_f1:0.7271
Epoch: 3* (72.1971s), train_loss: 0.4855, s1_loss: 0.6420,s2_loss: 0.4815
		train_acc: 0.7633, train_roc: 0.8449,train_precision: 0.7514,train_recall:0.7869
		s1_acc: 0.6753, s1_roc: 0.7456, s1_aupr:0.7294, s1_f1:0.7052
		s2_acc: 0.7743, s2_roc: 0.8529, s2_aupr:0.8415, s2_f1:0.7831
Epoch: 4* (73.3348s), train_loss: 0.3893, s1_loss: 0.5619,s2_loss: 0.4535
		train_acc: 0.8277, train_roc: 0.9048,train_precision: 0.8150,train_recall:0.8480
		s1_acc: 0.7194, s1_roc: 0.8009, s1_aupr:0.7957, s1_f1:0.7453
		s2_acc: 0.7917, s2_roc: 0.8755, s2_aupr:0.8665, s2_f1:0.8070
Epoch: 5* (74.7959s), train_loss: 0.3403, s1_loss: 0.5823,s2_loss: 0.4153
		train_acc: 0.8542, train_roc: 0.9276,train_precision: 0.8389,train_recall:0.8769
		s1_acc: 0.7269, s1_roc: 0.7989, s1_aupr:0.7849, s1_f1:0.7493
		s2_acc: 0.8159, s2_roc: 0.8950, s2_aupr:0.8845, s2_f1:0.8267
Epoch: 6* (73.8841s), train_loss: 0.3136, s1_loss: 0.5825,s2_loss: 0.4455
		train_acc: 0.8699, train_roc: 0.9383,train_precision: 0.8534,train_recall:0.8932
		s1_acc: 0.7386, s1_roc: 0.8200, s1_aupr:0.7992, s1_f1:0.7729
		s2_acc: 0.8062, s2_roc: 0.8953, s2_aupr:0.8807, s2_f1:0.8271
Epoch: 7  (70.8014s), train_loss: 0.2856, s1_loss: 0.6634,s2_loss: 0.4649
		train_acc: 0.8836, train_roc: 0.9486,train_precision: 0.8685,train_recall:0.9040
		s1_acc: 0.7340, s1_roc: 0.8206, s1_aupr:0.8087, s1_f1:0.7078
		s2_acc: 0.8129, s2_roc: 0.9023, s2_aupr:0.8944, s2_f1:0.7989
Epoch: 8* (68.6627s), train_loss: 0.2794, s1_loss: 0.5665,s2_loss: 0.4120
		train_acc: 0.8867, train_roc: 0.9503,train_precision: 0.8698,train_recall:0.9097
		s1_acc: 0.7393, s1_roc: 0.8290, s1_aupr:0.8051, s1_f1:0.7735
		s2_acc: 0.8203, s2_roc: 0.9101, s2_aupr:0.8970, s2_f1:0.8385
Epoch: 9* (73.2795s), train_loss: 0.2517, s1_loss: 0.5165,s2_loss: 0.3701
		train_acc: 0.8990, train_roc: 0.9597,train_precision: 0.8819,train_recall:0.9213
		s1_acc: 0.7733, s1_roc: 0.8565, s1_aupr:0.8473, s1_f1:0.7658
		s2_acc: 0.8448, s2_roc: 0.9232, s2_aupr:0.9163, s2_f1:0.8401
Epoch: 10  (70.8702s), train_loss: 0.2425, s1_loss: 0.5411,s2_loss: 0.4001
		train_acc: 0.9029, train_roc: 0.9622,train_precision: 0.8852,train_recall:0.9259
		s1_acc: 0.7766, s1_roc: 0.8526, s1_aupr:0.8451, s1_f1:0.7718
		s2_acc: 0.8346, s2_roc: 0.9086, s2_aupr:0.8999, s2_f1:0.8364
Epoch: 11  (71.8050s), train_loss: 0.2370, s1_loss: 0.5577,s2_loss: 0.3704
		train_acc: 0.9070, train_roc: 0.9638,train_precision: 0.8896,train_recall:0.9294
		s1_acc: 0.7638, s1_roc: 0.8429, s1_aupr:0.8313, s1_f1:0.7697
		s2_acc: 0.8477, s2_roc: 0.9217, s2_aupr:0.9150, s2_f1:0.8499
Epoch: 12  (69.0177s), train_loss: 0.2194, s1_loss: 0.5562,s2_loss: 0.3820
		train_acc: 0.9139, train_roc: 0.9686,train_precision: 0.8964,train_recall:0.9359
		s1_acc: 0.7703, s1_roc: 0.8511, s1_aupr:0.8488, s1_f1:0.7610
		s2_acc: 0.8450, s2_roc: 0.9193, s2_aupr:0.9157, s2_f1:0.8431
Epoch: 13  (73.5697s), train_loss: 0.2097, s1_loss: 0.6066,s2_loss: 0.4129
		train_acc: 0.9179, train_roc: 0.9713,train_precision: 0.9009,train_recall:0.9392
		s1_acc: 0.7606, s1_roc: 0.8653, s1_aupr:0.8576, s1_f1:0.7282
		s2_acc: 0.8359, s2_roc: 0.9308, s2_aupr:0.9275, s2_f1:0.8205
Epoch: 14* (71.8453s), train_loss: 0.2114, s1_loss: 0.5465,s2_loss: 0.3798
		train_acc: 0.9171, train_roc: 0.9709,train_precision: 0.9006,train_recall:0.9376
		s1_acc: 0.7878, s1_roc: 0.8627, s1_aupr:0.8513, s1_f1:0.7924
		s2_acc: 0.8499, s2_roc: 0.9242, s2_aupr:0.9181, s2_f1:0.8539
Epoch: 15  (71.3650s), train_loss: 0.2021, s1_loss: 0.6185,s2_loss: 0.3929
		train_acc: 0.9211, train_roc: 0.9733,train_precision: 0.9051,train_recall:0.9408
		s1_acc: 0.7590, s1_roc: 0.8427, s1_aupr:0.8266, s1_f1:0.7841
		s2_acc: 0.8438, s2_roc: 0.9257, s2_aupr:0.9193, s2_f1:0.8540
Epoch: 16  (69.5052s), train_loss: 0.1899, s1_loss: 0.5829,s2_loss: 0.3538
		train_acc: 0.9275, train_roc: 0.9762,train_precision: 0.9116,train_recall:0.9467
		s1_acc: 0.7623, s1_roc: 0.8417, s1_aupr:0.8349, s1_f1:0.7786
		s2_acc: 0.8564, s2_roc: 0.9317, s2_aupr:0.9273, s2_f1:0.8628
Epoch: 17  (72.6332s), train_loss: 0.1811, s1_loss: 0.5961,s2_loss: 0.3758
		train_acc: 0.9309, train_roc: 0.9782,train_precision: 0.9155,train_recall:0.9494
		s1_acc: 0.7645, s1_roc: 0.8418, s1_aupr:0.8348, s1_f1:0.7537
		s2_acc: 0.8497, s2_roc: 0.9240, s2_aupr:0.9193, s2_f1:0.8484
Epoch: 18  (71.0004s), train_loss: 0.1872, s1_loss: 0.6448,s2_loss: 0.3849
		train_acc: 0.9289, train_roc: 0.9767,train_precision: 0.9127,train_recall:0.9485
		s1_acc: 0.7634, s1_roc: 0.8415, s1_aupr:0.8385, s1_f1:0.7475
		s2_acc: 0.8521, s2_roc: 0.9291, s2_aupr:0.9258, s2_f1:0.8480
Epoch: 19  (68.7401s), train_loss: 0.1838, s1_loss: 0.5866,s2_loss: 0.3780
		train_acc: 0.9295, train_roc: 0.9777,train_precision: 0.9143,train_recall:0.9480
		s1_acc: 0.7663, s1_roc: 0.8490, s1_aupr:0.8396, s1_f1:0.7849
		s2_acc: 0.8509, s2_roc: 0.9295, s2_aupr:0.9223, s2_f1:0.8603
Epoch: 20  (75.1667s), train_loss: 0.1739, s1_loss: 0.5945,s2_loss: 0.3814
		train_acc: 0.9336, train_roc: 0.9799,train_precision: 0.9193,train_recall:0.9506
		s1_acc: 0.7654, s1_roc: 0.8417, s1_aupr:0.8376, s1_f1:0.7672
		s2_acc: 0.8465, s2_roc: 0.9241, s2_aupr:0.9222, s2_f1:0.8524
Epoch: 21  (74.5323s), train_loss: 0.1708, s1_loss: 0.6154,s2_loss: 0.3564
		train_acc: 0.9353, train_roc: 0.9806,train_precision: 0.9208,train_recall:0.9526
		s1_acc: 0.7690, s1_roc: 0.8473, s1_aupr:0.8412, s1_f1:0.7725
		s2_acc: 0.8618, s2_roc: 0.9358, s2_aupr:0.9340, s2_f1:0.8651
Epoch: 22  (72.0525s), train_loss: 0.1618, s1_loss: 0.6153,s2_loss: 0.3466
		train_acc: 0.9387, train_roc: 0.9822,train_precision: 0.9247,train_recall:0.9550
		s1_acc: 0.7643, s1_roc: 0.8396, s1_aupr:0.8328, s1_f1:0.7738
		s2_acc: 0.8653, s2_roc: 0.9377, s2_aupr:0.9345, s2_f1:0.8697
Epoch: 23  (71.9816s), train_loss: 0.1606, s1_loss: 0.6271,s2_loss: 0.3775
		train_acc: 0.9398, train_roc: 0.9827,train_precision: 0.9263,train_recall:0.9556
		s1_acc: 0.7593, s1_roc: 0.8363, s1_aupr:0.8302, s1_f1:0.7699
		s2_acc: 0.8513, s2_roc: 0.9308, s2_aupr:0.9292, s2_f1:0.8579
Epoch: 24  (72.3861s), train_loss: 0.1533, s1_loss: 0.5701,s2_loss: 0.3773
		train_acc: 0.9423, train_roc: 0.9840,train_precision: 0.9287,train_recall:0.9581
		s1_acc: 0.7725, s1_roc: 0.8567, s1_aupr:0.8526, s1_f1:0.7867
		s2_acc: 0.8507, s2_roc: 0.9319, s2_aupr:0.9266, s2_f1:0.8598
Epoch: 25* (71.3445s), train_loss: 0.1528, s1_loss: 0.5758,s2_loss: 0.3464
		train_acc: 0.9432, train_roc: 0.9841,train_precision: 0.9295,train_recall:0.9591
		s1_acc: 0.7870, s1_roc: 0.8627, s1_aupr:0.8595, s1_f1:0.7883
		s2_acc: 0.8693, s2_roc: 0.9397, s2_aupr:0.9377, s2_f1:0.8721
Epoch: 26  (70.0423s), train_loss: 0.1445, s1_loss: 0.6314,s2_loss: 0.3471
		train_acc: 0.9468, train_roc: 0.9858,train_precision: 0.9348,train_recall:0.9605
		s1_acc: 0.7795, s1_roc: 0.8623, s1_aupr:0.8618, s1_f1:0.7615
		s2_acc: 0.8709, s2_roc: 0.9418, s2_aupr:0.9417, s2_f1:0.8677
Epoch: 27  (76.1241s), train_loss: 0.1492, s1_loss: 0.6399,s2_loss: 0.3501
		train_acc: 0.9444, train_roc: 0.9848,train_precision: 0.9315,train_recall:0.9594
		s1_acc: 0.7624, s1_roc: 0.8457, s1_aupr:0.8464, s1_f1:0.7463
		s2_acc: 0.8658, s2_roc: 0.9387, s2_aupr:0.9385, s2_f1:0.8637
Epoch: 28  (71.8328s), train_loss: 0.1300, s1_loss: 0.6834,s2_loss: 0.3524
		train_acc: 0.9520, train_roc: 0.9884,train_precision: 0.9404,train_recall:0.9652
		s1_acc: 0.7748, s1_roc: 0.8576, s1_aupr:0.8568, s1_f1:0.7639
		s2_acc: 0.8789, s2_roc: 0.9483, s2_aupr:0.9478, s2_f1:0.8766
Epoch: 29  (73.1521s), train_loss: 0.1356, s1_loss: 0.6655,s2_loss: 0.3465
		train_acc: 0.9495, train_roc: 0.9874,train_precision: 0.9381,train_recall:0.9625
		s1_acc: 0.7679, s1_roc: 0.8529, s1_aupr:0.8544, s1_f1:0.7446
		s2_acc: 0.8716, s2_roc: 0.9452, s2_aupr:0.9457, s2_f1:0.8662
Epoch: 30  (72.7126s), train_loss: 0.1310, s1_loss: 0.7727,s2_loss: 0.3850
		train_acc: 0.9515, train_roc: 0.9882,train_precision: 0.9397,train_recall:0.9650
		s1_acc: 0.7516, s1_roc: 0.8442, s1_aupr:0.8441, s1_f1:0.7149
		s2_acc: 0.8643, s2_roc: 0.9441, s2_aupr:0.9443, s2_f1:0.8559
Epoch: 31  (72.8007s), train_loss: 0.1225, s1_loss: 0.6589,s2_loss: 0.3232
		train_acc: 0.9551, train_roc: 0.9894,train_precision: 0.9446,train_recall:0.9669
		s1_acc: 0.7699, s1_roc: 0.8462, s1_aupr:0.8462, s1_f1:0.7606
		s2_acc: 0.8809, s2_roc: 0.9484, s2_aupr:0.9486, s2_f1:0.8801
Epoch: 32* (70.4911s), train_loss: 0.1214, s1_loss: 0.6312,s2_loss: 0.3321
		train_acc: 0.9554, train_roc: 0.9896,train_precision: 0.9439,train_recall:0.9683
		s1_acc: 0.7831, s1_roc: 0.8715, s1_aupr:0.8740, s1_f1:0.7609
		s2_acc: 0.8797, s2_roc: 0.9498, s2_aupr:0.9497, s2_f1:0.8758
Epoch: 33  (69.6891s), train_loss: 0.1180, s1_loss: 0.6002,s2_loss: 0.3453
		train_acc: 0.9567, train_roc: 0.9902,train_precision: 0.9458,train_recall:0.9689
		s1_acc: 0.7761, s1_roc: 0.8513, s1_aupr:0.8515, s1_f1:0.7761
		s2_acc: 0.8665, s2_roc: 0.9385, s2_aupr:0.9353, s2_f1:0.8699
Epoch: 34  (71.8793s), train_loss: 0.1203, s1_loss: 0.8741,s2_loss: 0.4432
		train_acc: 0.9560, train_roc: 0.9899,train_precision: 0.9458,train_recall:0.9674
		s1_acc: 0.7445, s1_roc: 0.8723, s1_aupr:0.8755, s1_f1:0.6841
		s2_acc: 0.8571, s2_roc: 0.9457, s2_aupr:0.9465, s2_f1:0.8438
Epoch: 35* (72.3051s), train_loss: 0.1156, s1_loss: 0.6275,s2_loss: 0.3240
		train_acc: 0.9573, train_roc: 0.9906,train_precision: 0.9473,train_recall:0.9686
		s1_acc: 0.7846, s1_roc: 0.8697, s1_aupr:0.8707, s1_f1:0.7645
		s2_acc: 0.8814, s2_roc: 0.9493, s2_aupr:0.9500, s2_f1:0.8792
Epoch: 36  (69.7061s), train_loss: 0.1127, s1_loss: 0.8255,s2_loss: 0.4046
		train_acc: 0.9591, train_roc: 0.9910,train_precision: 0.9490,train_recall:0.9704
		s1_acc: 0.7645, s1_roc: 0.8673, s1_aupr:0.8699, s1_f1:0.7263
		s2_acc: 0.8711, s2_roc: 0.9500, s2_aupr:0.9511, s2_f1:0.8624
Epoch: 37  (69.5047s), train_loss: 0.1070, s1_loss: 0.7402,s2_loss: 0.3565
		train_acc: 0.9607, train_roc: 0.9918,train_precision: 0.9509,train_recall:0.9716
		s1_acc: 0.7735, s1_roc: 0.8764, s1_aupr:0.8803, s1_f1:0.7369
		s2_acc: 0.8793, s2_roc: 0.9542, s2_aupr:0.9545, s2_f1:0.8722
Epoch: 38  (72.2874s), train_loss: 0.1042, s1_loss: 0.8580,s2_loss: 0.4001
		train_acc: 0.9621, train_roc: 0.9921,train_precision: 0.9523,train_recall:0.9731
		s1_acc: 0.7513, s1_roc: 0.8612, s1_aupr:0.8644, s1_f1:0.7012
		s2_acc: 0.8691, s2_roc: 0.9523, s2_aupr:0.9534, s2_f1:0.8585
Epoch: 39  (70.2509s), train_loss: 0.1030, s1_loss: 0.7416,s2_loss: 0.3576
		train_acc: 0.9627, train_roc: 0.9923,train_precision: 0.9530,train_recall:0.9735
		s1_acc: 0.7696, s1_roc: 0.8776, s1_aupr:0.8804, s1_f1:0.7268
		s2_acc: 0.8769, s2_roc: 0.9553, s2_aupr:0.9568, s2_f1:0.8679
Epoch: 40* (70.7293s), train_loss: 0.1057, s1_loss: 0.6348,s2_loss: 0.3148
		train_acc: 0.9615, train_roc: 0.9918,train_precision: 0.9517,train_recall:0.9725
		s1_acc: 0.7990, s1_roc: 0.8811, s1_aupr:0.8837, s1_f1:0.7836
		s2_acc: 0.8921, s2_roc: 0.9562, s2_aupr:0.9568, s2_f1:0.8905
Epoch: 41  (74.0786s), train_loss: 0.1010, s1_loss: 0.9885,s2_loss: 0.4604
		train_acc: 0.9632, train_roc: 0.9927,train_precision: 0.9533,train_recall:0.9741
		s1_acc: 0.7263, s1_roc: 0.8472, s1_aupr:0.8531, s1_f1:0.6585
		s2_acc: 0.8552, s2_roc: 0.9497, s2_aupr:0.9519, s2_f1:0.8388
Epoch: 42  (65.9823s), train_loss: 0.0928, s1_loss: 0.7676,s2_loss: 0.3469
		train_acc: 0.9664, train_roc: 0.9937,train_precision: 0.9579,train_recall:0.9757
		s1_acc: 0.7737, s1_roc: 0.8679, s1_aupr:0.8720, s1_f1:0.7453
		s2_acc: 0.8863, s2_roc: 0.9555, s2_aupr:0.9566, s2_f1:0.8819
Epoch: 43  (73.0279s), train_loss: 0.0974, s1_loss: 0.7447,s2_loss: 0.3503
		train_acc: 0.9648, train_roc: 0.9932,train_precision: 0.9560,train_recall:0.9745
		s1_acc: 0.7767, s1_roc: 0.8817, s1_aupr:0.8877, s1_f1:0.7407
		s2_acc: 0.8828, s2_roc: 0.9533, s2_aupr:0.9547, s2_f1:0.8774
Epoch: 44  (70.5998s), train_loss: 0.0885, s1_loss: 0.7869,s2_loss: 0.3534
		train_acc: 0.9681, train_roc: 0.9943,train_precision: 0.9601,train_recall:0.9768
		s1_acc: 0.7675, s1_roc: 0.8640, s1_aupr:0.8704, s1_f1:0.7333
		s2_acc: 0.8850, s2_roc: 0.9569, s2_aupr:0.9580, s2_f1:0.8787
Epoch: 45  (71.7296s), train_loss: 0.0884, s1_loss: 0.7247,s2_loss: 0.3257
		train_acc: 0.9686, train_roc: 0.9942,train_precision: 0.9601,train_recall:0.9777
		s1_acc: 0.7831, s1_roc: 0.8756, s1_aupr:0.8835, s1_f1:0.7518
		s2_acc: 0.8904, s2_roc: 0.9589, s2_aupr:0.9603, s2_f1:0.8856
Epoch: 46  (66.8656s), train_loss: 0.0871, s1_loss: 0.9328,s2_loss: 0.4483
		train_acc: 0.9688, train_roc: 0.9945,train_precision: 0.9609,train_recall:0.9774
		s1_acc: 0.7615, s1_roc: 0.8776, s1_aupr:0.8807, s1_f1:0.7117
		s2_acc: 0.8679, s2_roc: 0.9539, s2_aupr:0.9549, s2_f1:0.8562
Epoch: 47  (72.8099s), train_loss: 0.0887, s1_loss: 1.0342,s2_loss: 0.4740
		train_acc: 0.9680, train_roc: 0.9943,train_precision: 0.9599,train_recall:0.9767
		s1_acc: 0.7404, s1_roc: 0.8663, s1_aupr:0.8721, s1_f1:0.6744
		s2_acc: 0.8600, s2_roc: 0.9532, s2_aupr:0.9556, s2_f1:0.8443
Epoch: 48  (72.3667s), train_loss: 0.0886, s1_loss: 0.8056,s2_loss: 0.3673
		train_acc: 0.9682, train_roc: 0.9943,train_precision: 0.9603,train_recall:0.9768
		s1_acc: 0.7713, s1_roc: 0.8681, s1_aupr:0.8725, s1_f1:0.7361
		s2_acc: 0.8813, s2_roc: 0.9548, s2_aupr:0.9560, s2_f1:0.8751
Epoch: 49  (70.5782s), train_loss: 0.0831, s1_loss: 1.0008,s2_loss: 0.4465
		train_acc: 0.9705, train_roc: 0.9949,train_precision: 0.9629,train_recall:0.9786
		s1_acc: 0.7314, s1_roc: 0.8785, s1_aupr:0.8842, s1_f1:0.6537
		s2_acc: 0.8591, s2_roc: 0.9525, s2_aupr:0.9550, s2_f1:0.8435
Epoch: 50  (72.8750s), train_loss: 0.0893, s1_loss: 0.8826,s2_loss: 0.3874
		train_acc: 0.9680, train_roc: 0.9941,train_precision: 0.9598,train_recall:0.9768
